TerminalID,LocationAddress,Latitude,Longitude,RatePackageID,RatePackageDescription,FullRate,POS,NumberOfSpaces,CLZTerminal,Availability,unavailable,objectID
409606,11411 S MICHIGAN AVE,41.6866577,-87.6208698,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,9,0,3,FALSE,11547447000
409603,11414 S MICHIGAN AVE,41.686531,-87.620898,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,7,0,3,FALSE,11547444000
299313,1142 N ASHLAND AVE,41.9025405,-87.6675483,418000007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS",2.5,3,10,0,3,FALSE,11550444000
285401,1142 S CLINTON ST,41.8675619,-87.6407195,499000007,"$4.75, Mon-Sat 8 AM-10 PM, Sun 8 AM-6 PM, 3 hr POS",4.75,3,5,0,3,FALSE,11549899000
285404,1142 S JEFFERSON ST,41.8674565,-87.6422102,431000007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS",4.75,3,9,0,3,FALSE,11549902000
445209,1142 W BELMONT AVE,41.9398563,-87.6585026,915000007,"$2.50, Mon-Sat 8 AM-10 PM, Sun 10 AM-8 PM, 2 hr POS",2.5,2,9,0,3,FALSE,11547201000
467122,1143 W LAWRENCE AVE,41.9690315,-87.6593083,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,5,0,2,FALSE,11548140000
754307,1143 W Randolph St,41.88413,-87.65593,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,19,0,3,FALSE,11549404000
760308,1144 W Fulton Market St,41.886722,-87.6561406,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,5,0,2,FALSE,11550568000
409604,11440 S MICHIGAN AVE,41.6858485,-87.6208591,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,6,0,3,FALSE,11547445000
409605,11441 S MICHIGAN AVE,41.68587,-87.6208242,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,11,0,3,FALSE,11547446000
924201,1145 W DIVERSEY PKWY,41.9325561,-87.6574089,418012007,"$2.50, Mon-Sat 8 AM-10 PM, 3 hr POS, RH1: Mon-Fri 7 AM-9 AM",2.5,3,8,0,3,FALSE,11550280000
760307,1145 W Fulton Market St,41.8866515,-87.656374,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,11,0,3,FALSE,11550567000
919105,1145 W LOYOLA AVE,42.001513,-87.6601314,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,9,0,3,FALSE,11549492000
757307,1145 W Lake St,41.88545,-87.65606,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,7,0,3,FALSE,11549435000
473108,1145 W ROSEMONT AVE,41.9963449,-87.6598226,291000007,"$2.50, Mon-Sat 9 AM-6 PM, 2 hr POS",2.5,2,2,0,1,FALSE,11548920000
364714,1146 W 18TH ST,41.8579854,-87.6554692,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,10,0,3,FALSE,11547006000
924224,1148 W DIVERSEY PKWY,41.9325785,-87.6577582,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,8,0,3,FALSE,11550303000
473107,1148 W ROSEMONT AVE,41.996416,-87.659908,291000007,"$2.50, Mon-Sat 9 AM-6 PM, 2 hr POS",2.5,2,6,0,3,FALSE,11548919000
